NOTA_CN,NOTA_MT,NOTA_LC,NOTA_CH,NOTA_REDACAO,nota_final
426.0,398.8,474.8,529.9,500.0,465.9
439.1,618.1,529.1,543.4,700.0,565.94
605.3,733.4,628.4,690.1,760.0,683.4399999999999
577.4,615.3,583.8,646.8,720.0,628.66
539.0,596.0,588.9,530.9,580.0,566.96
562.9,674.1,629.4,554.3,860.0,656.14
640.1,644.9,551.1,621.0,780.0,647.42
522.3,523.0,530.2,489.3,740.0,560.96
559.5,635.3,603.3,616.0,740.0,630.8199999999999
524.0,520.4,583.6,585.1,760.0,594.62
585.1,754.0,535.9,571.6,760.0,641.3199999999999
620.1,733.4,586.2,650.4,920.0,702.02
553.7,581.7,541.7,573.5,600.0,570.1200000000001
418.9,668.0,497.1,493.4,820.0,579.48
693.2,690.6,625.8,775.3,900.0,736.98
568.3,691.4,575.8,634.0,920.0,677.9
577.7,680.0,571.2,577.4,940.0,669.26
472.7,499.0,509.2,568.1,600.0,529.8
517.6,589.9,539.4,539.9,520.0,541.36
522.2,624.7,550.3,579.6,840.0,623.36
709.8,753.9,694.2,745.9,860.0,752.76
446.4,441.3,510.1,505.6,640.0,508.68
430.4,491.2,506.1,445.1,900.0,554.56
668.9,718.1,690.4,749.7,780.0,721.4200000000001
461.7,567.3,593.8,617.5,380.0,524.0600000000001
450.9,477.1,514.8,501.3,600.0,508.82
588.8,558.6,573.3,608.7,880.0,641.88
527.0,453.3,467.0,474.1,620.0,508.28000000000003
439.0,624.8,506.8,423.5,600.0,518.8199999999999
567.4,460.4,567.6,574.4,840.0,601.96
548.6,536.0,618.3,660.4,820.0,636.66
596.1,723.2,585.6,661.2,900.0,693.22
521.1,560.3,519.5,548.9,600.0,549.96
574.0,548.2,529.6,569.4,600.0,564.24
514.5,612.3,597.8,613.4,620.0,591.6
501.1,597.9,541.1,545.0,860.0,609.02
585.0,610.0,531.3,598.1,920.0,648.88
580.1,583.1,549.4,627.1,800.0,627.9399999999999
453.3,568.3,552.5,606.9,820.0,600.2
587.9,619.0,529.9,600.4,840.0,635.44
577.4,653.5,574.4,579.0,680.0,612.86
441.8,440.6,441.8,413.5,460.0,439.53999999999996
399.5,580.7,502.1,451.2,600.0,506.7
507.7,498.5,556.2,539.3,560.0,532.3399999999999
576.5,582.1,584.7,580.8,900.0,644.8199999999999
449.7,584.4,495.5,494.5,680.0,540.8199999999999
606.6,693.1,631.0,623.2,860.0,682.78
537.6,451.5,575.1,595.6,680.0,567.96
596.6,721.2,573.3,627.8,760.0,655.78
542.2,725.3,581.1,572.3,940.0,672.18
473.6,456.6,514.8,576.7,580.0,520.3399999999999
490.9,472.0,454.0,454.5,620.0,498.28000000000003
392.6,500.8,467.1,416.9,500.0,455.48
496.6,544.7,518.7,616.5,800.0,595.3
475.7,527.1,548.5,498.6,620.0,533.98
481.7,516.9,550.7,532.7,560.0,528.4
519.5,627.1,564.5,536.8,620.0,573.5799999999999
472.9,442.1,479.8,427.1,720.0,508.38
519.5,492.9,542.4,471.6,660.0,537.28
715.9,732.1,523.4,566.8,580.0,623.64
409.2,537.7,502.9,555.5,800.0,561.0600000000001
505.6,540.6,597.1,661.0,580.0,576.86
510.4,567.8,424.1,557.6,580.0,527.9799999999999
469.7,590.8,525.1,518.8,700.0,560.8799999999999
562.6,746.2,520.4,561.1,720.0,622.0600000000001
567.1,567.8,513.6,568.6,720.0,587.42
444.5,416.2,493.2,432.9,680.0,493.36
577.2,487.6,462.6,434.9,560.0,504.46000000000004
532.0,706.0,632.8,666.7,920.0,691.5
472.3,598.6,618.7,593.4,520.0,560.6
564.7,626.3,608.4,647.4,920.0,673.36
529.2,603.9,580.3,524.5,720.0,591.5799999999999
646.5,780.3,658.3,673.8,960.0,743.78
475.7,639.6,555.5,590.5,920.0,636.26
467.4,596.8,430.7,485.2,440.0,484.02
543.0,671.6,601.3,645.3,740.0,640.24
616.4,662.2,521.8,571.7,660.0,606.42
686.8,692.9,691.6,749.2,840.0,732.1
564.2,601.6,602.3,615.1,780.0,632.6400000000001
473.1,519.0,554.1,562.1,480.0,517.6600000000001
604.6,703.6,546.0,599.8,900.0,670.8
606.0,633.4,535.4,635.5,720.0,626.0600000000001
386.4,424.1,498.1,532.2,660.0,500.16
402.6,515.7,500.0,454.9,560.0,486.64000000000004
603.6,645.5,631.8,651.2,760.0,658.42
636.5,656.9,631.7,680.8,700.0,661.1800000000001
484.8,652.4,534.7,369.5,540.0,516.28
441.5,450.9,533.0,476.7,560.0,492.4200000000001
548.9,505.5,539.4,583.9,720.0,579.5400000000001
452.9,443.5,495.4,545.1,580.0,503.38
599.3,658.2,551.1,587.4,640.0,607.2
480.2,492.5,543.7,562.0,720.0,559.6800000000001
530.8,605.1,580.0,585.8,900.0,640.3399999999999
425.9,575.4,517.7,558.1,580.0,531.42
604.9,684.9,630.1,617.3,760.0,659.4399999999999
581.0,667.0,599.4,570.1,720.0,627.5
469.4,436.6,526.3,488.5,480.0,480.16
556.5,621.0,629.5,656.2,780.0,648.64
556.0,505.1,568.5,633.4,920.0,636.6
462.3,386.6,532.1,499.7,440.0,464.14
363.5,570.0,483.2,378.3,500.0,459.0
507.1,593.1,582.4,643.7,520.0,569.26
387.5,420.2,392.2,347.8,540.0,417.53999999999996
447.0,580.8,431.9,459.8,560.0,495.9
619.9,690.4,569.1,649.4,880.0,681.76
511.6,498.0,530.2,533.7,740.0,562.7
499.8,463.5,539.8,520.1,680.0,540.64
546.8,771.9,499.4,576.9,700.0,619.0
547.5,650.6,601.8,659.5,900.0,671.8799999999999
431.3,641.9,591.6,604.4,840.0,621.84
440.5,613.7,514.9,0.0,580.0,429.82
452.6,523.7,504.2,380.0,600.0,492.1
443.3,363.3,493.4,526.3,460.0,457.26000000000005
485.0,498.9,471.0,483.6,840.0,555.7
419.6,512.8,528.4,566.8,600.0,525.52
461.3,518.8,550.1,567.0,760.0,571.4399999999999
519.0,421.0,556.6,587.2,420.0,500.76000000000005
551.5,684.5,583.0,510.3,700.0,605.86
414.4,470.9,450.1,479.5,520.0,466.98
457.8,512.5,506.3,536.0,720.0,546.52
519.0,576.2,504.3,605.0,600.0,560.9
476.9,661.1,556.2,631.4,560.0,577.12
510.9,513.3,543.0,360.0,600.0,505.43999999999994
380.3,449.3,471.7,470.3,520.0,458.32
458.0,559.4,570.6,596.4,640.0,564.88
592.9,599.3,568.0,601.0,800.0,632.24
432.2,430.0,514.4,487.0,300.0,432.71999999999997
409.0,481.6,473.0,430.8,720.0,502.87999999999994
444.6,432.8,474.1,483.7,480.0,463.03999999999996
453.2,406.0,448.1,495.6,480.0,456.58000000000004
439.6,495.8,471.2,504.8,640.0,510.28000000000003
591.0,572.5,642.9,644.5,780.0,646.1800000000001
375.2,436.7,489.5,409.9,600.0,462.26000000000005
430.0,473.1,369.8,394.9,560.0,445.56000000000006
719.4,777.3,658.2,719.1,920.0,758.8
411.3,670.3,515.8,591.9,540.0,545.8599999999999
600.8,751.8,602.9,644.8,720.0,664.0600000000001
561.1,655.5,523.5,400.7,800.0,588.16
437.9,662.7,540.2,580.9,620.0,568.3399999999999
419.1,533.6,416.1,489.5,920.0,555.6600000000001
531.5,595.3,579.8,593.6,720.0,604.04
424.9,465.2,508.8,541.0,640.0,515.9799999999999
545.4,558.4,551.8,605.3,540.0,560.18
427.6,500.0,570.0,383.8,560.0,488.2799999999999
400.3,442.9,486.2,629.7,0.0,391.82000000000005
481.2,479.1,543.2,552.7,720.0,555.24
604.4,702.4,583.3,638.3,720.0,649.68
618.3,660.2,592.9,570.7,820.0,652.4200000000001
504.2,535.4,554.1,342.3,580.0,503.2
527.2,487.2,522.4,570.7,520.0,525.5
554.0,477.1,580.3,545.3,580.0,547.3399999999999
576.3,619.9,571.4,620.0,900.0,657.52
464.9,501.8,567.8,594.2,440.0,513.74
505.0,704.9,593.2,611.5,900.0,662.9200000000001
549.0,488.3,503.0,543.2,740.0,564.7
533.7,536.1,522.8,471.6,640.0,540.84
661.4,875.1,687.6,710.9,960.0,779.0
592.1,746.6,607.7,610.5,800.0,671.38
410.5,559.5,461.6,470.4,580.0,496.4
535.1,673.8,622.1,602.3,640.0,614.6600000000001
520.4,648.4,535.1,532.9,660.0,579.36
377.1,555.4,507.2,526.2,580.0,509.18
496.4,573.7,470.9,533.7,760.0,566.9399999999999
635.9,685.6,612.4,635.9,840.0,681.96
