TP_FAIXA_ETARIA,SEXO,TP_COR_RACA,TP_ESCOLA,MUNIC_ESCOLA,SG_UF_ESC,NO_MUNICIPIO_PROVA,UF_PROVA,TP_PRESENCA_CN,TP_PRESENCA_CH,TP_PRESENCA_LC,TP_PRESENCA_MT,NOTA_CN,NOTA_CH,NOTA_LC,NOTA_MT,NOTA_REDACAO,nota_final
17 anos,F,Branco,Pública,,,Santo André,SP,1,1,1,1,554.9,501.5,514.9,514.3,680.0,553.12
17 anos,M,Não Declarado,Privada,São Bernardo do Campo,SP,Santo André,SP,1,1,1,1,581.6,571.3,534.7,720.4,820.0,645.6
Entre 31 e 35 anos,F,Branco,Não respondeu,,,Santo André,SP,1,1,1,1,499.6,619.0,557.9,409.1,560.0,529.12
20 anos,F,Branco,Não respondeu,,,Santo André,SP,1,1,1,1,598.2,641.0,569.3,602.9,840.0,650.28
19 anos,M,Pardo,Não respondeu,,,Santo André,SP,1,1,1,1,542.9,590.6,628.4,583.6,620.0,593.1
Entre 41 e 45 anos,F,Branco,Não respondeu,,,Santo André,SP,1,1,1,1,497.3,525.9,472.5,423.2,600.0,503.78000000000003
19 anos,M,Branco,Privada,Santo André,SP,Santo André,SP,1,1,1,1,480.8,596.2,546.2,673.9,700.0,599.4200000000001
17 anos,F,Branco,Pública,,,Santo André,SP,1,1,1,1,413.9,562.8,491.5,528.3,700.0,539.3
19 anos,F,Branco,Não respondeu,,,Santo André,SP,1,1,1,1,512.1,602.8,604.4,508.6,580.0,561.5799999999999
22 anos,F,Branco,Não respondeu,,,Santo André,SP,1,1,1,1,530.1,660.7,591.6,670.8,880.0,666.64
17 anos,M,Branco,Pública,Santo André,SP,Santo André,SP,1,1,1,1,409.9,518.0,476.2,431.3,540.0,475.08000000000004
18 anos,F,Branco,Não respondeu,,,Santo André,SP,1,1,1,1,460.7,609.2,595.9,669.9,860.0,639.14
17 anos,F,Branco,Pública,Santo André,SP,Santo André,SP,1,1,1,1,499.4,568.2,512.3,556.3,580.0,543.24
19 anos,M,Branco,Não respondeu,,,Santo André,SP,1,1,1,1,562.5,718.2,561.3,472.3,640.0,590.86
21 anos,F,Pardo,Não respondeu,,,Santo André,SP,1,1,1,1,499.8,454.7,525.1,467.6,820.0,553.4399999999999
17 anos,F,Branco,Privada,Santo André,SP,Santo André,SP,1,1,1,1,612.3,639.3,552.0,693.8,680.0,635.4799999999999
17 anos,F,Branco,Pública,Santo André,SP,Santo André,SP,1,1,1,1,598.4,590.1,606.7,670.4,600.0,613.12
17 anos,F,Branco,Pública,Santo André,SP,Santo André,SP,1,1,1,1,405.6,429.8,457.3,452.8,640.0,477.1
17 anos,F,Pardo,Pública,São Paulo,SP,Santo André,SP,1,1,1,1,539.2,605.5,549.9,630.0,720.0,608.92
24 anos,F,Branco,Não respondeu,,,Santo André,SP,1,1,1,1,753.1,668.5,658.8,839.5,940.0,771.9799999999999
